tweet,index
"💉 A vacinação contra a gripe vai começar neste sábado (16)! 👀 Confira o público, locais e horários.📍A aplicação acontecerá nas Unidades Saúde na Hora e SLZ Shopping. A partir de segunda (18), em todas as nossas Unidades Básicas de Saúde. Prepare o braço e #Partiu!💪🏽 https://t.co/8WdMqYSoj4",1074
"São Luís hoje foi destaque em rede nacional por ser a capital mais avançada na vacinação do Brasil. Quem ganha com isso é a população. Parabéns ao prefeito @EduardoBraide, ao secretário de saúde! Vamos vencer 💪🏽💉",1077
"O Brasil segue avançando na vacinação contra a Covid! Dados do DataSus apontam que 59,9% dos brasileiros já estão completamente imunizados contra a Covid. Superando, assim, os EUA que estão com 58,8% da população vacinada com as duas doses. https://t.co/LakrX5lRQQ",1078
"A vacinação contra a Covid está avançado a passos largos no Brasil. Mais da metade da população brasileira já está totalmente imunizada! E mais de 72% já tomou a primeira dose da vacina! E assim, seguimos rumo a imunização completa de nosso povo! https://t.co/MVNc5iyXl6",1080
"SAÚDENo Amazonas, campanha de vacinação contra a gripe é prorrogada até dia 31 de julhoLeia mais em: https://t.co/RAtJpc9cZR https://t.co/WF1muuB6wg",1087
RT @camaradeputados: Projeto apresentado pelo deputado @ruycarneiropb inclui na primeira fase de vacinação contra a Covid-19 os motoristas…,1097
💉 Sou firme defensora da vacinação como ferramenta essencial para a saúde pública📜 Relatora de importantes leis:👉🏻Piso da Enfermagem👉🏻Igualdade Salarial entre Homens e Mulheres👉🏻Novo Mais MédicosQuer saber mais? Acesse meu site https://t.co/QiEnOwDWX8,1120
Capitais decidem não estender vacinação contra a dengue➡️Prefeituras dizem que estão sem doses próximas do vencimentohttps://t.co/yfSLrn6ddU,1122
"▶️ Mutirão de vacinação para pets acontece neste sábado no Shopping Bosque dos Ipêsação, que será realizada na portaria A, no acesso ao 1º piso, em frente à Praça Central, atenderá a população por ordem de chegada#UltimasNoticias #CapitalNewshttps://t.co/U5oVreaQUm",1125
Governo amplia faixa etária de vacinação da dengue para usar doses com validade perto do fim#PortalR7 #R7 https://t.co/DgWQzOBX2M,1127
"#saúde I Em 2024, o Ministério da Saúde deu início à estratégia inédita de vacinação contra o vírus da dengue.https://t.co/4QgKLyO5h5",1130
"Dengue: vacinação de crianças e adolescentes fica muito abaixo da meta do Ministério da Saúde.O Brasil foi o 1º país a oferecer, no sistema público de saúde, o imunizante. Em 2024, doença atingiu 6,6 milhões de pessoas e matou quase 6 mil.Confira: https://t.co/gzNgzYcWzz #JN https://t.co/oBvjHnS8LM",1152
"O Ministério da Saúde ampliou temporariamente a faixa etária para a vacinação contra a dengue no SUS. Agora, doses com validade de até dois meses podem ser aplicadas em pessoas de 6 a 16 anos, enquanto vacinas com até um mês de validade serão oferecidas para quem tem entre 4 e 59 https://t.co/zy7f0i0w7y",1159
▶️ Prefeitura de Corumbá divulga cronograma de vacinação para a semana de 27 a 31 de janeiroAlgumas unidades de saúde terão horários ou dias específicos de fechamento#UltimasNoticias #CapitalNewshttps://t.co/xDDWoSRn28,1164
Mauro Cid afirma que Bolsonaro ordenou inserir dados falsos de vacinação contra covid-19. #ODia https://t.co/mvZigqNnOY,1175
"Li com alegria a notícia que a OMS decretou o fim da emergência da Covid-19. Em Maceió, fomos líderes em eficiência da vacinação no país. A pandemia NÃO acabou e temos a arma certa pra vencê-la de vez. Tome a vacina bivalente. Vale pra todos 18+. https://t.co/4MN4pfGef0",1178
"🏙️Após achar os animais em condições inadequadas, sem castração ou vacinação em dia, a Polícia Civil acionou o Protocolo de Acumuladores da Secretaria de Segurança Pública do Distrito Federal.https://t.co/K0qmSvba2Z",1212
"🌎 Com 3 a cada 4 mortes por dengue no país, São Paulo decreta emergência, mas vacina não chega a 40% das cidadesSe por um lado os casos da doença aumentam, por outro, a vacinação contra a dengue ainda esbarra na falta de doses disponíveis.https://t.co/4jgy1d98gZ",1213
São Paulo confirma primeira morte por dengue em 2025. Secretaria de Saúde intensifica vacinação para crianças e adolescentes. #MeiaHora https://t.co/4vzqbuhy09,1216
"Vacinação é prevenção, é saúde, é conscientização. E para fazer a diferença e elevar a cobertura vacinal nos 645 municípios, lançamos a Campanha de Multivacinação, que vai às escolas, a locais de grande circulação e áreas rurais. Uma parceria com as prefeituras para atualizar a… https://t.co/w2WHwQGcS3 https://t.co/9sR6gwGiyp",1239
"Iniciamos a vacinação contra a dengue. Este é um passo importante para conter o avanço dessa epidemia. A chegada das doses e a determinação das faixas etárias a serem vacinadas são definidas pelo @minsaude, mas estamos fazendo o possível para combater o mosquito.",1240
"➡️Servidor de saúde é preso em SP por fraudar sistema de vacinação sobre CovidNa operação também foram apreendidos armas de fogo, munições, celulares e outros dispositivos eletrônicos #sbtnews https://t.co/9Czu1nTnOT https://t.co/vIGaLbvlAU",1250
Curitiba retoma vacinação contra a Covid-19 para crianças de 5 a 11 anos com comorbidadeshttps://t.co/Z3OGafWPB0,1262
"Passado um ano desde o início da campanha de vacinação da dengue pelo Sistema Único de Saúde, a procura pelo imunizante segue abaixo do esperadohttps://t.co/FHMa88WJ4Q",1263
"Bolsonaro pediu para falsificar cartão de vacinação contra Covid-19, diz Cidhttps://t.co/pRQKLYw8Em",1264
"@Robsond00609346 @RosaneBonoro Suspeito que um parente meu esteja com câncer após a v4cina. Uma pessoa que vive sempre com alimentação natural, vida plena e saudável. E mais duas pessoas que ficaram meio estranhas no comportamento, saúde mental.Tudo pós vacinação.",1300
"Vacinação contra dengue deve ser ampliada para áreas com surto, diz diretor do programa 💉 Leia no #R7Entrevista#PortalR7 #R7 https://t.co/diqKIRSnh7",1342
Cidade de SP não vai ampliar faixa etária da vacinação contra a dengue. #Dengue #Vacinação #TVCultura https://t.co/i1lLE7b9Up,1351
